11325 atoms
1 atom types

0.0 4.072500000000001 xlo xhi
0.0 4.072500000000001 ylo yhi
0.0 4.072500000000001 zlo zhi
0.000000 0.000000 0.000000 xy xz yz

Masses

1 28.0855

Atoms
1 1 0.0 0.0 0.0 0.132
2 1 0.0 0.2715 0.0 0.132
3 1 0.0 0.543 0.0 0.132
4 1 0.0 0.8145 0.0 0.132
5 1 0.0 1.086 0.0 0.132
6 1 0.0 1.3575000000000002 0.0 0.132
7 1 0.0 1.629 0.0 0.132
8 1 0.0 1.9005 0.0 0.132
9 1 0.0 2.172 0.0 0.132
10 1 0.0 2.4435000000000002 0.0 0.132
11 1 0.0 2.7150000000000003 0.0 0.132
12 1 0.0 2.9865000000000004 0.0 0.132
13 1 0.0 3.258 0.0 0.132
14 1 0.0 3.5295 0.0 0.132
15 1 0.0 3.801 0.0 0.132
16 1 0.13575 0.13575 0.0 0.132
17 1 0.13575 0.40725 0.0 0.132
18 1 0.13575 0.6787500000000001 0.0 0.132
19 1 0.13575 0.95025 0.0 0.132
20 1 0.13575 1.2217500000000001 0.0 0.132
21 1 0.13575 1.4932500000000002 0.0 0.132
22 1 0.13575 1.76475 0.0 0.132
23 1 0.13575 2.0362500000000003 0.0 0.132
24 1 0.13575 2.30775 0.0 0.132
25 1 0.13575 2.57925 0.0 0.132
26 1 0.13575 2.85075 0.0 0.132
27 1 0.13575 3.12225 0.0 0.132
28 1 0.13575 3.3937500000000003 0.0 0.132
29 1 0.13575 3.6652500000000003 0.0 0.132
30 1 0.13575 3.9367500000000004 0.0 0.132
31 1 0.2715 0.0 0.0 0.132
32 1 0.2715 0.2715 0.0 0.132
33 1 0.2715 0.543 0.0 0.132
34 1 0.2715 0.8145 0.0 0.132
35 1 0.2715 1.086 0.0 0.132
36 1 0.2715 1.3575000000000002 0.0 0.132
37 1 0.2715 1.629 0.0 0.132
38 1 0.2715 1.9005 0.0 0.132
39 1 0.2715 2.172 0.0 0.132
40 1 0.2715 2.4435000000000002 0.0 0.132
41 1 0.2715 2.7150000000000003 0.0 0.132
42 1 0.2715 2.9865000000000004 0.0 0.132
43 1 0.2715 3.258 0.0 0.132
44 1 0.2715 3.5295 0.0 0.132
45 1 0.2715 3.801 0.0 0.132
46 1 0.40725 0.13575 0.0 0.132
47 1 0.40725 0.40725 0.0 0.132
48 1 0.40725 0.6787500000000001 0.0 0.132
49 1 0.40725 0.95025 0.0 0.132
50 1 0.40725 1.2217500000000001 0.0 0.132
51 1 0.40725 1.4932500000000002 0.0 0.132
52 1 0.40725 1.76475 0.0 0.132
53 1 0.40725 2.0362500000000003 0.0 0.132
54 1 0.40725 2.30775 0.0 0.132
55 1 0.40725 2.57925 0.0 0.132
56 1 0.40725 2.85075 0.0 0.132
57 1 0.40725 3.12225 0.0 0.132
58 1 0.40725 3.3937500000000003 0.0 0.132
59 1 0.40725 3.6652500000000003 0.0 0.132
60 1 0.40725 3.9367500000000004 0.0 0.132
61 1 0.543 0.0 0.0 0.132
62 1 0.543 0.2715 0.0 0.132
63 1 0.543 0.543 0.0 0.132
64 1 0.543 0.8145 0.0 0.132
65 1 0.543 1.086 0.0 0.132
66 1 0.543 1.3575000000000002 0.0 0.132
67 1 0.543 1.629 0.0 0.132
68 1 0.543 1.9005 0.0 0.132
69 1 0.543 2.172 0.0 0.132
70 1 0.543 2.4435000000000002 0.0 0.132
71 1 0.543 2.7150000000000003 0.0 0.132
72 1 0.543 2.9865000000000004 0.0 0.132
73 1 0.543 3.258 0.0 0.132
74 1 0.543 3.5295 0.0 0.132
75 1 0.543 3.801 0.0 0.132
76 1 0.6787500000000001 0.13575 0.0 0.132
77 1 0.6787500000000001 0.40725 0.0 0.132
78 1 0.6787500000000001 0.6787500000000001 0.0 0.132
79 1 0.6787500000000001 0.95025 0.0 0.132
80 1 0.6787500000000001 1.2217500000000001 0.0 0.132
81 1 0.6787500000000001 1.4932500000000002 0.0 0.132
82 1 0.6787500000000001 1.76475 0.0 0.132
83 1 0.6787500000000001 2.0362500000000003 0.0 0.132
84 1 0.6787500000000001 2.30775 0.0 0.132
85 1 0.6787500000000001 2.57925 0.0 0.132
86 1 0.6787500000000001 2.85075 0.0 0.132
87 1 0.6787500000000001 3.12225 0.0 0.132
88 1 0.6787500000000001 3.3937500000000003 0.0 0.132
89 1 0.6787500000000001 3.6652500000000003 0.0 0.132
90 1 0.6787500000000001 3.9367500000000004 0.0 0.132
91 1 0.8145 0.0 0.0 0.132
92 1 0.8145 0.2715 0.0 0.132
93 1 0.8145 0.543 0.0 0.132
94 1 0.8145 0.8145 0.0 0.132
95 1 0.8145 1.086 0.0 0.132
96 1 0.8145 1.3575000000000002 0.0 0.132
97 1 0.8145 1.629 0.0 0.132
98 1 0.8145 1.9005 0.0 0.132
99 1 0.8145 2.172 0.0 0.132
100 1 0.8145 2.4435000000000002 0.0 0.132
101 1 0.8145 2.7150000000000003 0.0 0.132
